total_profit,win_rate,trades,wins,losses,avg_profit,max_profit,max_loss,max_drawdown,profit_factor,iter_time,RATIO_TRIGGER,RSI_FILTER,STC_SELL_ZONE,EMA_FAST,EMA_SLOW,MACD_FAST,MACD_SLOW,MACD_SIGNAL,RSI_PERIOD,STOP_LOSS_PCT,STC_LENGTH,STC_FAST,STC_SLOW
19734.399999999994,55.319148936170215,47,26,21,419.88085106382965,4470.0,-1692.0,3825.600000000006,2.323958780592528,0.20317816734313965,1.3,50,95,5,15,12,26,9,14,0.02,10,23,50
19734.399999999994,55.319148936170215,47,26,21,419.88085106382965,4470.0,-1692.0,3825.600000000006,2.323958780592528,0.16591763496398926,1.3,50,90,5,15,12,26,9,14,0.02,10,23,50
18158.0,58.620689655172406,29,17,12,626.1379310344828,4470.0,-1692.0,1940.0,3.615672716796312,0.2129659652709961,1.15,55,85,5,15,12,26,9,14,0.02,10,23,50
18158.0,58.620689655172406,29,17,12,626.1379310344828,4470.0,-1692.0,1940.0,3.615672716796312,0.19678974151611328,1.15,55,90,5,15,12,26,9,14,0.02,10,23,50
18158.0,58.620689655172406,29,17,12,626.1379310344828,4470.0,-1692.0,1940.0,3.615672716796312,0.2194375991821289,1.15,55,95,5,15,12,26,9,14,0.02,10,23,50
16600.800000000003,52.38095238095239,42,22,20,395.2571428571429,4470.0,-1692.0,4050.0,2.157721490738675,0.16866540908813477,1.5,55,95,5,15,12,26,9,14,0.02,10,23,50
14578.0,56.52173913043478,23,13,10,633.8260869565217,4470.0,-1692.0,1930.0,3.5656458993312214,0.1715834140777588,0.9,55,90,5,15,12,26,9,14,0.02,10,23,50
14578.0,56.52173913043478,23,13,10,633.8260869565217,4470.0,-1692.0,1930.0,3.5656458993312214,0.14841198921203613,0.9,55,95,5,15,12,26,9,14,0.02,10,23,50
14578.0,56.52173913043478,23,13,10,633.8260869565217,4470.0,-1692.0,1930.0,3.5656458993312214,0.14241671562194824,0.9,55,85,5,15,12,26,9,14,0.02,10,23,50
14578.0,56.52173913043478,23,13,10,633.8260869565217,4470.0,-1692.0,1930.0,3.5656458993312214,0.20197176933288574,1.0,55,90,5,15,12,26,9,14,0.02,10,23,50
14578.0,56.52173913043478,23,13,10,633.8260869565217,4470.0,-1692.0,1930.0,3.5656458993312214,0.18433022499084473,1.0,55,85,5,15,12,26,9,14,0.02,10,23,50
14578.0,56.52173913043478,23,13,10,633.8260869565217,4470.0,-1692.0,1930.0,3.5656458993312214,0.17606520652770996,1.0,55,95,5,15,12,26,9,14,0.02,10,23,50
13200.800000000003,51.162790697674424,43,22,21,306.99534883720935,4470.0,-1692.0,4050.0,1.87138594777282,0.2608985900878906,1.5,55,85,5,15,12,26,9,14,0.02,10,23,50
13200.800000000003,51.162790697674424,43,22,21,306.99534883720935,4470.0,-1692.0,4050.0,1.87138594777282,0.22692370414733887,1.5,55,90,5,15,12,26,9,14,0.02,10,23,50
11014.399999999994,51.42857142857142,35,18,17,314.6971428571427,4470.0,-1692.0,6025.600000000006,1.8247027464134886,0.1445469856262207,1.3,55,95,5,15,12,26,9,14,0.02,10,23,50
11014.399999999994,51.42857142857142,35,18,17,314.6971428571427,4470.0,-1692.0,6025.600000000006,1.8247027464134886,0.1325531005859375,1.3,55,85,5,15,12,26,9,14,0.02,10,23,50
11014.399999999994,51.42857142857142,35,18,17,314.6971428571427,4470.0,-1692.0,6025.600000000006,1.8247027464134886,0.13329553604125977,1.3,55,90,5,15,12,26,9,14,0.02,10,23,50
